FirstDayOfMonth,Year,Pool,Month,Oil(BBLS),Gas(MCF),Water(BBLS),Days P/I
1995-02-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Feb,0,11026,0,13
1995-03-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Mar,0,38693,0,31
1995-04-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Apr,0,39474,0,30
1995-05-01,1995,[71629] BASIN FRUITLAND COAL (GAS),May,0,38840,0,31
1995-06-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,33928,0,30
1995-07-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,26393,0,31
1995-08-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,25637,0,31
1995-09-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,31582,0,30
1995-10-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,32135,0,31
1995-11-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Nov,0,28244,0,30
1995-12-01,1995,[71629] BASIN FRUITLAND COAL (GAS),Dec,0,32329,0,31
1996-01-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Jan,0,32554,0,31
1996-02-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Feb,0,28999,0,29
1996-03-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Mar,0,29892,0,31
1996-04-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Apr,0,25343,0,30
1996-05-01,1996,[71629] BASIN FRUITLAND COAL (GAS),May,0,39474,0,31
1996-06-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,26714,0,30
1996-07-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,26062,0,31
1996-08-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,24234,0,31
1996-09-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,18449,0,30
1996-10-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,24953,0,31
1996-11-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Nov,0,22314,0,30
1996-12-01,1996,[71629] BASIN FRUITLAND COAL (GAS),Dec,0,21939,0,31
1997-01-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Jan,0,20655,0,31
1997-02-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Feb,0,17011,0,28
1997-03-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Mar,0,18790,0,31
1997-04-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Apr,0,19108,0,30
1997-05-01,1997,[71629] BASIN FRUITLAND COAL (GAS),May,0,19732,0,31
1997-06-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Jun,0,17704,0,30
1997-07-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Jul,0,19726,0,31
1997-08-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Aug,0,19368,0,31
1997-09-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Sep,0,18246,0,30
1997-10-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Oct,0,13944,0,31
1997-11-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Nov,0,14661,0,30
1997-12-01,1997,[71629] BASIN FRUITLAND COAL (GAS),Dec,0,13774,0,31
1998-01-01,1998,[71629] BASIN FRUITLAND COAL (GAS),Jan,0,17725,0,31
